ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.844270721077919 0.846246637403965 0.8731251433491707 0.9581326082829507 0.06580342054367061 0.12300360202789307 0.0012752413749694824 0.9912453731521964 0.015746779345636553 0.02640749648684827 0.004867757697821673 0.9500775039196014 0.9227718710899353
1        0.8267430365085602 0.8063997691497207 0.8230248242616653 0.9383138375622886 0.0639391541481018 0.16063916683197021 0.0011878013610839844 0.9825530759990215 0.0016910251367217549 0.0038393440518843447 0.001153181475755018 0.8646267950534821 0.8041231632232666
2        0.904615730047226 0.8706154972314835 0.9205906987190247 0.9698085460939427 1.0             1.0             0.054631829261779785 0.9998964712431189 0.005591379962687655 0.005591379962687655 0.005591379962687655 0.9947315454483032 0.9947315454483032
3        0.8481387943029404 0.8462638962599967 0.8340644612908363 0.9595499922122274 0.07054526209831236 0.09826330840587616 0.09333634376525879 0.9865359272807837 0.018539265299175097 0.04191631954329253 0.00486775537669448 0.9469720125198364 0.9227718710899353
4        0.8148179054260254 0.8265950315528445 0.8965004980564117 0.9677538474400839 0.06990953683853152 0.14574946463108063 0.033851683139801025 0.9934534570202231 0.0111936980914768 0.014993427549776712 0.00486775537669448 0.9579436779022217 0.9227718710899353
5        0.9173710346221924 0.8899086680677202 0.8698865175247192 0.9732438671973443 0.07120247483253483 0.136762335896492 0.07014250755310059 0.9974099267274141 0.011035380676553574 0.017324649554365107 0.0032882129395124674 0.9102963209152222 0.8423837423324585
6        0.943067342042923 0.9235056961576145 0.9357083737850189 0.9773103125393391 0.06736587285995488 0.1213589459657669 0.9931659530848265 0.9931658757850528 0.008627366618480155 0.02228015760295312 0.0014923611567563828 0.9856540262699127 0.9827327728271484
7        0.8341214954853058 0.8157508000731468 0.9040406048297882 0.9304132680098216 0.0714487254619598 0.11279481649398804 0.7919457703828812 0.5735889971256256 0.0027722861360495845 0.0076335215998961535 0.0021845370342875505 0.94034543633461 0.9227717518806458
8        0.88550765812397 0.8833556895454724 0.9536001086235046 0.9604652139701342 0.06447921941677726 0.13224586099386215 0.972144827246666 0.9385995827615261 0.0037103445702981177 0.008266597953731206 0.0016808560646298508 0.9258068203926086 0.874034583568573
9        0.951187789440155 0.8606593176722527 0.8731224313378334 0.9427951052082252 1.0             1.0             0.0008460283279418945 0.9983448890270665 0.00018703225500999943 0.00018703225500999943 0.00018703225500999943 0.625665545463562 0.625665545463562
10       0.8906272947788239 0.8572628185153007 0.9057711064815521 0.9702848136425019 0.07912860512733455 0.12356753647327423 0.013276517391204834 0.993728666100651 0.01820786320552677 0.041810401197063606 0.0030388283620080107 0.9832784533500671 0.9785601496696472
