ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.881643662850062 0.908428077896436 0.954716295003891 0.9402309186756611 0.05526183247566219 0.07591412961483002 0.8799328903357188 0.952614412140016 0.7734017074108124 0.9817132009044762 0.8667925596237183 0.9504150326053301 0.9269682615995407 0.9924724367447197 0.9892022339627147 0.010116640903034558 0.02340792512166009 0.004867757697821673 0.874522864818573 0.7603281736373901
1        0.8578832199176153 0.8871921325723331 0.9581781327724457 0.9573742403038616 0.03919023871421812 0.11555670201778412 0.8100201239188513 0.9308864235365804 0.7335148304700851 0.9720306958060734 0.8329045474529266 0.9967199116945267 0.9455477297306061 0.0010179877281188965 0.07854151725769043 0.0021438009636657513 0.00550126405091077 0.0017218375876976296 0.6588690628608068 0.1817585676908493
2        0.8959564566612244 0.892756000161171 0.943475991487503 0.9459230330275714 1.0             1.0             0.8708581626415253 0.9865636256479444 0.8708581626415253 0.9761647446189947 0.843111664056778 0.9776269495487213 0.901265487074852 0.9988538118777797 0.999521249148529 0.002271480027119766 0.002271480027119766 0.002271480027119766 0.8889562487602234 0.8889562487602234
3        0.8496818616986275 0.8782045058906078 0.9121690094470978 0.9468242675065994 0.07151284217834475 0.13699612021446228 0.8014010339975357 0.9413083716075916 0.7784853875637054 0.9398075061320199 0.776529461145401 0.9387724523742994 0.8915856778621674 0.9968020473606884 0.12240415811538696 0.002024852988449251 0.0038234714670613407 0.0014831034377972689 0.8994331359863281 0.8041231632232666
4        0.8334986567497253 0.8928271681070328 0.9251621961593628 0.9479451913299587 0.056223565340042136 0.11580730974674225 0.8348045845826467 0.9401869113402119 0.775765985250473 0.957550170315983 0.7918393015861511 0.9873738984266917 0.8957075327634811 0.13910835981369019 0.953668512403965 0.009192864312815168 0.02008905504693505 0.0048726995645237 0.9284382065137228 0.8041241765022278
5        0.8035416901111603 0.8035416901111603 0.9017708599567413 0.9157788110927304 1.0             1.0             0.785709947347641 0.9579009384299271 0.785709947347641 0.9730208048665112 0.7306155562400818 0.8895441393057505 0.8936810195446014 0.9904221761971712 0.9996057780226693 0.00486775537669448 0.00486775537669448 0.00486775537669448 0.9227720499038696 0.9227720499038696
6        0.8394212474425634 0.8973576004306476 0.9776752591133118 0.9547655655201092 0.03721083836121997 0.06275545060634613 0.8301485528548559 0.9064193659563948 0.7018236666917801 0.993556131593472 0.8998376131057739 0.8889149775107702 0.9568298161029816 0.9978596493601799 0.9829543586820364 0.006206576419838467 0.02647555606480624 0.0035215694099717627 0.9508211215337118 0.8834943175315857
7        0.7263335734605789 0.7225731462240219 0.8690414726734161 0.9188978935774006 1.0             1.0             0.7619960010051727 0.9348662960929937 0.7619960010051727 0.9061218724111433 0.7217542976140976 0.9691820641358694 0.8239604979753494 0.5393128991127014 0.9995028315461241 0.00455826436018514 0.00455826436018514 0.00455826436018514 0.9672654867172241 0.9672654867172241
8        0.9075436145067215 0.9332669898867607 0.9634868800640106 0.9583824455738068 0.05196301937103276 0.11139549314975739 0.8631816506385803 0.9570856438431452 0.7665280699729919 0.993857777110378 0.9221544861793518 0.9634802490472794 0.9634267091751099 0.9982430540258065 0.9992170741315931 0.007680050924507848 0.016293840029331468 0.00486775537669448 0.9145334362983704 0.906295120716095
9        0.7497093975543976 0.7408507876098156 0.8783102333545685 0.9117044105801307 1.0             1.0             0.7284861654043198 0.9320426387667315 0.7284861654043198 0.9398067517684119 0.6637462377548218 0.8826052149136862 0.8577120006084442 0.9982303876895458 0.9997119937615935 0.0048726995645237 0.0048726995645237 0.0048726995645237 0.8041231632232666 0.8041231632232666
